INDUSTRY,QUARTER,YEAR,ACTION,VALUE_%
Footwear,3,2008,UTILISATION,90.8
Footwear,4,2008,UTILISATION,93.5
Footwear,1,2009,UTILISATION,93.0
Footwear,2,2009,UTILISATION,92.0
Footwear,3,2009,UTILISATION,94.8
Footwear,4,2009,UTILISATION,94.3
Footwear,1,2010,UTILISATION,92.7
Footwear,2,2010,UTILISATION,86.6
Footwear,3,2010,UTILISATION,86.0
Footwear,4,2010,UTILISATION,86.4
Footwear,1,2011,UTILISATION,87.1
Footwear,2,2011,UTILISATION,88.5
Footwear,3,2011,UTILISATION,86.6
Footwear,4,2011,UTILISATION,89.0
Footwear,1,2012,UTILISATION,90.4
Footwear,2,2012,UTILISATION,88.2
Footwear,3,2012,UTILISATION,88.9
Footwear,4,2012,UTILISATION,89.4
Footwear,1,2013,UTILISATION,87.4
Footwear,2,2013,UTILISATION,93.2
Footwear,3,2013,UTILISATION,90.2
Footwear,4,2013,UTILISATION,88.6
Footwear,1,2014,UTILISATION,87.0
Footwear,2,2014,UTILISATION,84.5
Footwear,3,2014,UTILISATION,83.5
Footwear,4,2014,UTILISATION,86.1
Footwear,1,2015,UTILISATION,86.8
Footwear,2,2015,UTILISATION,85.8
Footwear,3,2015,UTILISATION,83.3
Footwear,4,2015,UTILISATION,84.0
Footwear,1,2016,UTILISATION,84.9
Footwear,2,2016,UTILISATION,82.1
Footwear,3,2016,UTILISATION,85.5
Footwear,4,2016,UTILISATION,85.2
Footwear,1,2017,UTILISATION,86.1
Footwear,2,2017,UTILISATION,81.1
Footwear,3,2017,UTILISATION,84.3
Footwear,4,2017,UTILISATION,85.8
Footwear,1,2018,UTILISATION,86.0
Footwear,2,2018,UTILISATION,85.3
Footwear,3,2018,UTILISATION,88.3
Footwear,4,2018,UTILISATION,88.6
Footwear,1,2019,UTILISATION,88.7
Footwear,2,2019,UTILISATION,84.3
Footwear,3,2019,UTILISATION,86.1
Footwear,4,2019,UTILISATION,87.7
Footwear,1,2020,UTILISATION,90.2
Footwear,2,2020,UTILISATION,54.3
Footwear,3,2020,UTILISATION,80.4
Footwear,4,2020,UTILISATION,87.7
Footwear,1,2021,UTILISATION,81.1
Footwear,2,2021,UTILISATION,81.7
Footwear,3,2021,UTILISATION,84.6
Footwear,4,2021,UTILISATION,84.6
Wood and products of wood,4,2003,UTILISATION,90.8
